Address,lon,lat
"14, blvd de la Madeleine",2.3256617,48.869887
"12, rue Bonaparte",2.3346109,48.85660379999999
"23, rue La Boétie",2.3163834,48.87389229999999
"3, rue des Saints-Pères",2.3331943,48.8578471
"123, blvd du Montparnasse",2.330939,48.8418305
"109, rue du Faubourg Saint Honoré",2.3110662,48.8725153
"30, rue de Seine",2.3366923,48.8555075
"10, rue Auber",2.3293681,48.872679
"25, blvd de la Madeleine",2.3250577,48.8693721
"80, rue La Boétie",2.3103176,48.8726741
"25, rue Victor Masséa",2.3379791,48.8808234
"148, blvd du Montparnasse",2.3337137,48.8403589
"51, rue de Seine",2.3368992,48.8550172
"16, rue de la Grande Chaumière",2.3302005,48.8421828
"43, blvd Malesherbes",2.320192,48.8740108
"20, rue Royale",2.323798,48.868658,
"16, rue Laffitte",2.3374438,48.8723801
"11, rue Richepanse",2.3249069,48.8688164
"20, rue de Miromesnil",2.3161932,48.8726762
"40, rue de la Boëtie",2.3142814,48.8737524
"8, rue de sèze",2.3267103,48.87036879999999
"1, rue Édouard VII",2.3290465,48.8704405
"76, rue du Faubourg Saint Honoré",2.317776400000001,48.8705429
"3, rue du Cherche-Midi",2.3297445,48.8518765
"19, place de la Madeleine",2.3239974,48.8708023
"19, quai de Conti",2.3379017,48.8571115
"19, rue de la Baume",2.3129074,48.8747513
"22, rue La Boétie",2.3162277,48.8741628
"47, rue Dumont d'Urville",2.2947981,48.87130089999999
"33, rue Bonaparte",2.3339578,48.8547758
"14, rue Duphot",2.3257426,48.8683655
"38, rue La Boétie",2.3147156,48.8738883
"13, rue Bonaparte",2.3345982,48.856323
"164, rue Faubourg Saint-Honoré",2.3093962,48.8735716
"133, blvd Raspail",2.3293227,48.8438137
"18, rue Godot-de-Mauroy",2.327217,48.871084
"12, rue La Boétie",2.317782,48.8743428
"44, rue de Fleurus",2.3275,48.8466296
"19, rue de Caumartin",2.3279902,48.8714085
"28, rue Vavin",2.3295211,48.8432958
"11, rue de Seine",2.3367499,48.8568199
"16, rue de l'Abbaye",2.3339624,48.854581
"26, rue de Seine",2.3366539,48.85564549999999
"20, rue Bonaparte",2.334207,48.856013
"6, rue Huyghens",2.329056,48.8413872
"10, ave Pierre 1er de Serbie",2.2966578,48.865475000000004
"17, rue Vignon",2.3260953,48.8713286
"11, rue Royale",2.32262,48.867824
"103, blvd du Montparnasse",2.3290835,48.8424774
